User ID,Instagram visit score,Spending_rank(0 to 100)
312,70,80.90917307
313,71,64.98953989
314,81,83.10716523
315,67,25.31521455
316,85,28.02554384
317,60,13.59379054
318,39,28.63800481
319,87,65.38471806
320,56,17.62508529
321,50,76.30235269
322,43,68.00480275
323,72,82.58527994
324,78,82.52693226
325,83,16.56328135
326,30,76.48826316
327,90,10.83667749
328,65,20.38865292
329,27,68.48481799
330,19,24.17208026
331,85,79.56108473
332,5,29.54739643
333,40,63.33957126
334,27,57.07282424
335,76,90.61974666
336,15,20.60926597
337,32,20.06536716
338,79,8.204026606
339,89,23.41564993
340,57,6.942328937
341,95,3.776767637
342,55,21.1258642
343,68,22.59870832
344,85,33.00929131
345,85,26.39622326
346,101,24.23950402
347,43,60.44099039
348,87,24.09242993
349,44,77.51233295
350,34,75.88646013
351,22,23.05317264
352,18,10.14402649
353,83,79.95562677
354,34,61.4575757
355,78,17.91956456
356,89,34.69671504
357,28,30.07681026
358,81,11.80327545
359,77,85.12529881
360,50,24.05756165
361,79,5.34741078
362,89,23.78727486
363,94,22.35525383
364,81,10.4111462
365,14,21.30010087
366,50,22.12827166
367,94,14.97405577
368,76,86.3823613
369,26,33.11451414
370,23,31.60134184
371,43,61.19705033
372,62,17.67966805
373,98,22.76002744
374,45,71.64125832
375,84,23.52029169
376,79,70.30288484
377,92,86.07262506
378,60,19.31255444
379,85,18.75385148
380,51,19.14330836
381,24,24.98961218
382,86,87.12735245
383,83,18.66157389
384,97,24.08108564
385,31,25.03969485
386,49,16.60737293
387,59,61.73056908
388,85,11.49266305
389,87,90.93473461
390,66,82.51317329
391,78,74.13380583
392,22,18.69782203
393,87,27.42259581
394,28,45.69516336
395,38,71.93015254
396,39,53.2819345
397,72,14.05913735
398,85,8.167946986
399,60,31.82224229
400,83,88.56602578
401,88,34.44354303
402,12,23.4044479
403,57,39.05173716
404,69,78.45012746
405,19,25.24606561
406,13,28.12989116
407,30,73.83523426
408,90,19.03134888
409,95,26.96858861
410,89,19.11371912
411,19,18.90255259
412,26,29.76273578
413,32,41.80669899
414,81,78.79889851
415,33,59.03970412
416,90,12.8121914
417,30,77.48787055
418,91,27.80179223
419,83,78.87354191
420,30,21.50185677
421,99,19.24704872
422,83,96.32182718
423,81,77.09703154
424,91,12.58927484
425,42,75.85094055
426,63,15.50581792
427,93,77.61937984
428,65,24.22242289
429,28,23.71340252
430,88,98.04298777
431,27,77.22486683
432,100,23.42272523
433,80,17.04699716
434,63,21.8495164
435,45,84.97045035
436,39,27.92569992
437,89,6.282675235
438,53,39.82201791
439,31,29.40444535
440,90,89.77440076
441,90,17.61903337
442,78,93.23704793
443,77,24.41028312
444,73,12.25126419
445,9,40.48369646
446,79,22.86652091
447,90,23.84538143
448,81,89.11413834
449,31,20.11730805
450,93,15.28581815
451,80,23.74313207
452,24,28.07948876
453,82,93.5233572
454,76,82.44936603
455,85,23.78611592
456,24,16.23929877
457,30,25.96737183
458,45,63.39344836
459,19,29.04436893
460,84,79.24263078
461,86,79.47777183
462,27,65.88106241
463,38,24.00258683
464,93,17.30662554
465,86,4.919132986
466,82,12.47998559
467,95,13.25665296
468,84,89.44173763
469,53,18.26673794
470,57,19.55053998
471,34,60.38734363
472,53,9.131617919
473,88,17.1533441
474,72,85.18097625
475,67,25.75189752
476,93,14.00304875
477,18,15.52698738
478,88,28.48858968
479,86,82.31900748
480,61,21.5110996
481,88,11.42268953
482,66,98.28742501
483,20,21.14324526
484,23,22.13480913
485,47,44.62789768
486,21,25.13109369
487,65,86.43369428
488,87,85.64276569
489,82,15.57815058
490,43,69.0304756
491,37,63.54847167
492,88,91.08317257
493,102,7.639653452
494,81,90.86260865
495,66,79.12652846
496,83,76.42241486
497,41,73.92483537
498,84,18.80740811
